Brand,Category,Color,Size,Material,Price,Bought_Date,Original_Price,Usage_Level
New Balance,Dress,White,XS,Nylon,182,2020-09-21 06:24:21.031382,200.98,4
New Balance,Jeans,Black,XS,Silk,57,2021-04-03 06:24:21.031382,68.61,4
Under Armour,Dress,Red,M,Wool,127,2021-08-09 06:24:21.031382,153.46,4
Nike,Shoes,Green,M,Cotton,77,2020-08-10 06:24:21.031382,88.24,2
Adidas,Sweater,White,M,Nylon,113,2023-12-24 06:24:21.031382,159.54,3
Reebok,Jacket,Red,XL,Nylon,19,2021-12-30 06:24:21.031382,22.75,5
Puma,Jacket,Red,XXL,Polyester,31,2024-07-19 06:24:21.031382,34.37,1
Adidas,Dress,Red,XS,Denim,46,2021-04-06 06:24:21.031382,60.15,5
Reebok,Dress,Black,S,Wool,97,2021-12-02 06:24:21.031382,111.45,3
Adidas,Jeans,Yellow,L,Wool,80,2025-01-11 06:24:21.031382,98.91,0
Nike,Jacket,White,XL,Silk,98,2024-06-23 06:24:21.031382,146.69,4
Puma,Jacket,White,XL,Silk,150,2020-08-02 06:24:21.031382,207.21,3
Under Armour,Jacket,White,S,Nylon,68,2021-04-30 06:24:21.031382,83.84,3
Under Armour,T-shirt,Blue,XL,Polyester,49,2021-10-03 06:24:21.031382,61.9,2
New Balance,Jacket,Green,S,Nylon,97,2023-08-23 06:24:21.031382,141.38,5
Under Armour,Jacket,Green,XXL,Silk,184,2024-01-28 06:24:21.031382,264.55,2
New Balance,Jeans,Red,S,Cotton,98,2023-02-07 06:24:21.031382,136.71,1
Reebok,Shoes,Blue,XS,Polyester,91,2021-09-16 06:24:21.031382,128.04,2
Adidas,Jeans,Yellow,XL,Denim,175,2021-08-16 06:24:21.031382,249.97,3
Puma,Shoes,Blue,XL,Wool,35,2022-12-13 06:24:21.031382,39.49,2
Puma,Sweater,Blue,L,Cotton,87,2023-08-16 06:24:21.031382,127.32,2
New Balance,Jeans,Green,S,Cotton,82,2022-12-27 06:24:21.031382,115.34,5
Reebok,Jacket,Black,L,Denim,19,2024-05-16 06:24:21.031382,23.96,0
Puma,Jacket,Red,XXL,Wool,158,2021-08-29 06:24:21.031382,220.48,0
Puma,Jacket,Black,L,Denim,125,2022-02-14 06:24:21.031382,153.84,4
Adidas,Jeans,White,XXL,Nylon,89,2020-12-03 06:24:21.031382,129.8,0
Adidas,Dress,Green,L,Polyester,185,2024-05-25 06:24:21.031382,213.49,3
New Balance,Shoes,Blue,M,Cotton,92,2020-10-10 06:24:21.031382,133.56,5
Adidas,T-shirt,Red,XS,Denim,109,2023-07-25 06:24:21.031382,147.68,4
Reebok,Sweater,Yellow,S,Denim,187,2023-08-28 06:24:21.031382,208.16,2
New Balance,Dress,Yellow,XL,Nylon,39,2022-07-11 06:24:21.031382,51.85,4
Reebok,T-shirt,Blue,M,Wool,157,2023-02-06 06:24:21.031382,228.94,0
Reebok,Jeans,Black,M,Nylon,157,2024-12-03 06:24:21.031382,226.14,2
Puma,Shoes,Black,M,Cotton,152,2025-01-14 06:24:21.031382,203.88,4
Under Armour,Sweater,Red,XL,Polyester,177,2021-04-04 06:24:21.031382,226.51,5
Puma,Sweater,White,M,Polyester,42,2024-03-08 06:24:21.031382,51.85,0
Adidas,Jeans,Green,M,Wool,19,2024-03-29 06:24:21.031382,23.59,5
Under Armour,Shoes,Black,XL,Nylon,195,2022-06-19 06:24:21.031382,222.0,4
Nike,Dress,Yellow,XS,Silk,137,2022-06-05 06:24:21.031382,183.82,5
Under Armour,T-shirt,Yellow,XXL,Polyester,42,2020-09-22 06:24:21.031382,49.13,1
Adidas,Jacket,Yellow,M,Silk,41,2022-01-19 06:24:21.031382,53.87,1
Adidas,Shoes,White,S,Nylon,161,2022-11-06 06:24:21.031382,189.19,4
Adidas,Jacket,Black,XS,Nylon,173,2023-06-14 06:24:21.031382,257.6,1
New Balance,Shoes,Blue,XL,Silk,124,2023-11-03 06:24:21.031382,160.86,5
Adidas,T-shirt,Black,XS,Wool,193,2023-10-26 06:24:21.031382,240.46,3
Nike,Jacket,Black,XS,Silk,38,2023-10-14 06:24:21.031382,41.88,0
New Balance,Dress,Red,L,Cotton,44,2023-03-05 06:24:21.031382,59.68,1
Under Armour,Shoes,Green,XL,Silk,138,2022-07-28 06:24:21.031382,182.03,5
Nike,Jeans,White,XS,Silk,138,2021-06-05 06:24:21.031382,160.77,2
Puma,Shoes,Black,XL,Wool,174,2023-07-11 06:24:21.031382,198.22,5
Under Armour,Jacket,Black,XXL,Cotton,63,2024-10-27 06:24:21.031382,78.93,1
Puma,Jeans,Green,M,Nylon,143,2020-10-08 06:24:21.031382,194.68,3
Puma,Shoes,Yellow,XL,Cotton,48,2021-03-06 06:24:21.031382,59.9,3
New Balance,Jacket,White,XS,Silk,27,2024-01-03 06:24:21.031382,36.15,3
Puma,Jacket,Green,XL,Denim,89,2020-07-15 06:24:21.031382,105.42,1
New Balance,Sweater,Black,L,Nylon,142,2022-04-18 06:24:21.031382,200.95,4
Adidas,Jacket,Blue,XXL,Wool,115,2022-07-02 06:24:21.031382,161.4,3
Under Armour,Sweater,Red,L,Nylon,52,2023-11-23 06:24:21.031382,75.92,5
Reebok,T-shirt,Red,L,Wool,196,2021-03-20 06:24:21.031382,284.81,5
Under Armour,Jacket,Green,XXL,Silk,41,2022-09-03 06:24:21.031382,60.62,5
Adidas,Shoes,Green,XXL,Cotton,130,2024-10-11 06:24:21.031382,174.04,3
Under Armour,Jacket,Yellow,XXL,Cotton,11,2024-12-18 06:24:21.031382,14.4,5
New Balance,Jacket,Red,XL,Cotton,75,2020-11-27 06:24:21.031382,90.61,2
Adidas,Sweater,Green,XS,Denim,179,2024-08-09 06:24:21.031382,211.4,4
Under Armour,Jacket,White,M,Cotton,67,2025-05-04 06:24:21.031382,76.17,0
Under Armour,Dress,Black,S,Cotton,45,2023-11-29 06:24:21.031382,60.96,0
New Balance,T-shirt,Black,M,Polyester,112,2022-08-07 06:24:21.031382,141.81,3
Puma,Jeans,Blue,XXL,Silk,129,2022-07-27 06:24:21.031382,186.33,0
Nike,Shoes,White,L,Cotton,21,2025-01-18 06:24:21.031382,28.39,3
Under Armour,Jeans,Blue,XXL,Denim,184,2022-05-09 06:24:21.031382,228.82,2
Reebok,Sweater,White,XS,Cotton,92,2022-05-24 06:24:21.031382,125.88,5
Nike,Shoes,Green,XXL,Wool,101,2021-06-27 06:24:21.031382,113.37,2
Reebok,T-shirt,Yellow,XXL,Silk,138,2022-03-07 06:24:21.031382,154.11,0
New Balance,T-shirt,Yellow,XL,Wool,152,2022-12-30 06:24:21.031382,181.62,3
Under Armour,Jeans,Yellow,XL,Cotton,109,2023-03-16 06:24:21.031382,160.81,4
Adidas,Sweater,White,XS,Silk,63,2022-01-15 06:24:21.031382,70.36,0
New Balance,Dress,Yellow,XS,Silk,150,2020-11-18 06:24:21.031382,205.33,0
Under Armour,T-shirt,Red,XXL,Silk,131,2023-09-11 06:24:21.031382,151.48,1
Puma,Shoes,White,L,Nylon,180,2025-02-02 06:24:21.031382,229.44,3
Adidas,Jeans,White,L,Polyester,94,2024-10-21 06:24:21.031382,113.53,5
Reebok,Dress,Yellow,XS,Polyester,78,2020-08-10 06:24:21.031382,100.95,2
Under Armour,Dress,Blue,L,Cotton,16,2023-06-25 06:24:21.031382,21.61,2
New Balance,Dress,White,XXL,Polyester,57,2025-04-21 06:24:21.031382,68.95,0
New Balance,Shoes,Blue,S,Silk,137,2024-08-08 06:24:21.031382,161.78,5
Under Armour,Jacket,White,XXL,Nylon,141,2022-05-30 06:24:21.031382,168.82,5
Adidas,Dress,Red,XL,Polyester,110,2021-09-19 06:24:21.031382,147.52,5
Under Armour,Dress,Green,L,Polyester,190,2021-07-19 06:24:21.031382,266.7,2
Nike,Shoes,Black,L,Nylon,88,2024-10-13 06:24:21.031382,117.3,1
Reebok,Jeans,Blue,L,Wool,153,2023-12-28 06:24:21.031382,195.02,3
Under Armour,Sweater,Blue,XS,Cotton,158,2024-08-18 06:24:21.031382,232.78,2
Under Armour,Jacket,White,XXL,Silk,196,2021-01-17 06:24:21.031382,251.95,0
Adidas,Jeans,Red,XXL,Denim,33,2024-03-24 06:24:21.031382,45.62,2
Puma,Shoes,Blue,S,Nylon,151,2021-06-27 06:24:21.031382,216.27,2
New Balance,Jeans,Black,XXL,Wool,127,2023-12-14 06:24:21.031382,174.02,3
Reebok,Dress,Red,L,Denim,95,2024-02-07 06:24:21.031382,133.22,1
Nike,Jacket,Yellow,S,Cotton,58,2022-07-25 06:24:21.031382,82.55,1
New Balance,Sweater,Yellow,S,Wool,59,2023-08-13 06:24:21.031382,66.89,5
Nike,Sweater,Yellow,XS,Cotton,79,2022-04-12 06:24:21.031382,100.69,5
Adidas,Jeans,Black,L,Polyester,179,2024-07-12 06:24:21.031382,211.89,0
Nike,Jacket,Green,S,Nylon,173,2023-04-25 06:24:21.031382,257.85,5
Puma,Jeans,Blue,L,Cotton,105,2021-03-16 06:24:21.031382,119.52,0
Under Armour,Shoes,Black,L,Nylon,104,2023-12-12 06:24:21.031382,115.95,4
Reebok,Jeans,Green,XXL,Nylon,10,2023-04-21 06:24:21.031382,12.02,3
New Balance,Sweater,Red,M,Denim,123,2025-06-21 06:24:21.031382,166.65,5
Under Armour,Sweater,Black,XL,Wool,188,2022-04-12 06:24:21.031382,264.98,3
Adidas,Jeans,Red,L,Silk,46,2021-10-04 06:24:21.031382,55.47,2
Under Armour,Sweater,Green,XXL,Wool,172,2021-11-01 06:24:21.031382,241.38,4
Puma,Shoes,Black,XS,Denim,58,2023-04-14 06:24:21.031382,66.2,2
Nike,Sweater,Blue,XXL,Wool,103,2024-04-16 06:24:21.031382,147.72,0
New Balance,Dress,Green,XL,Silk,141,2021-06-14 06:24:21.031382,210.42,2
Reebok,Dress,Blue,XS,Denim,108,2022-03-06 06:24:21.031382,150.5,3
Puma,T-shirt,Red,XS,Silk,52,2021-06-07 06:24:21.031382,77.04,4
New Balance,Shoes,Blue,XS,Wool,122,2021-12-30 06:24:21.031382,158.66,1
Adidas,T-shirt,Black,M,Nylon,159,2025-01-13 06:24:21.031382,181.29,0
Reebok,Jeans,Black,XL,Polyester,137,2022-12-05 06:24:21.031382,189.77,5
Under Armour,Jeans,Yellow,XS,Silk,10,2025-03-23 06:24:21.031382,14.55,3
Adidas,Jeans,White,XXL,Polyester,148,2024-08-22 06:24:21.031382,187.23,2
Under Armour,Jeans,Blue,XXL,Nylon,124,2020-12-25 06:24:21.031382,176.41,0
Puma,Sweater,Yellow,M,Silk,53,2020-09-28 06:24:21.031382,64.9,3
New Balance,T-shirt,Green,XL,Cotton,196,2022-06-05 06:24:21.031382,281.3,0
Puma,Jeans,Red,XXL,Cotton,137,2024-12-11 06:24:21.031382,184.81,5
Adidas,Dress,Green,XS,Wool,33,2024-03-22 06:24:21.031382,48.87,0
Nike,Sweater,White,XS,Polyester,197,2023-04-10 06:24:21.031382,240.62,2
Adidas,T-shirt,Red,L,Cotton,140,2022-02-26 06:24:21.031382,176.74,1
Nike,Shoes,White,XL,Wool,131,2022-07-01 06:24:21.031382,174.53,5
Adidas,Sweater,Blue,XXL,Wool,108,2023-01-26 06:24:21.031382,132.68,4
Adidas,Jacket,Black,S,Wool,72,2024-12-28 06:24:21.031382,89.15,3
Reebok,Jeans,Blue,XS,Denim,173,2023-12-11 06:24:21.031382,228.12,4
Nike,Dress,Red,XS,Nylon,133,2023-08-21 06:24:21.031382,184.46,5
Nike,Shoes,Yellow,XS,Polyester,92,2024-04-05 06:24:21.031382,115.27,0
New Balance,T-shirt,Red,L,Silk,184,2023-02-21 06:24:21.031382,226.9,1
Puma,Sweater,Yellow,XXL,Wool,158,2020-09-10 06:24:21.031382,226.23,4
Under Armour,T-shirt,Green,L,Silk,60,2024-10-03 06:24:21.031382,72.1,1
Puma,Jacket,Black,L,Cotton,165,2024-12-14 06:24:21.031382,189.81,1
Nike,Dress,Green,XL,Nylon,24,2021-04-23 06:24:21.031382,34.17,4
Reebok,Shoes,Blue,M,Denim,51,2023-07-25 06:24:21.031382,65.64,1
Nike,Sweater,White,XL,Silk,68,2023-11-28 06:24:21.031382,83.59,0
New Balance,Shoes,Yellow,M,Wool,46,2023-02-24 06:24:21.031382,64.21,2
Under Armour,Jacket,Yellow,S,Nylon,20,2024-11-09 06:24:21.031382,22.48,0
Under Armour,Dress,Green,XL,Wool,96,2025-03-04 06:24:21.031382,131.06,1
Adidas,Jeans,Black,XXL,Nylon,53,2025-05-08 06:24:21.031382,61.88,4
Reebok,T-shirt,Black,XXL,Silk,114,2023-04-30 06:24:21.031382,147.32,2
New Balance,Jacket,Green,XXL,Silk,21,2024-04-27 06:24:21.031382,28.16,1
Puma,Shoes,Black,XXL,Cotton,12,2022-06-28 06:24:21.031382,17.71,2
Reebok,Shoes,Blue,XS,Denim,61,2022-01-09 06:24:21.031382,82.18,3
Adidas,T-shirt,White,S,Polyester,90,2023-03-23 06:24:21.031382,115.86,5
Nike,T-shirt,Red,XS,Denim,42,2023-05-11 06:24:21.031382,57.21,4
New Balance,Jacket,Yellow,M,Wool,192,2024-04-20 06:24:21.031382,287.5,3
Under Armour,Jacket,White,L,Wool,138,2025-01-21 06:24:21.031382,205.9,2
Nike,Sweater,Yellow,M,Cotton,48,2021-01-05 06:24:21.031382,56.87,1
Nike,Dress,Yellow,XL,Denim,29,2023-10-27 06:24:21.031382,38.23,5
Adidas,Shoes,Red,XXL,Nylon,184,2024-11-04 06:24:21.031382,237.07,2
Puma,Jeans,Blue,S,Denim,52,2024-07-14 06:24:21.031382,70.62,1
Nike,Dress,Green,XXL,Nylon,125,2024-12-08 06:24:21.031382,178.32,0
Under Armour,Shoes,Black,S,Silk,194,2023-08-28 06:24:21.031382,238.92,0
Under Armour,Shoes,Black,S,Silk,198,2022-03-27 06:24:21.031382,283.4,1
Puma,Jeans,Red,M,Wool,87,2023-04-12 06:24:21.031382,122.28,4
Puma,Jeans,Yellow,XL,Polyester,40,2023-09-30 06:24:21.031382,47.68,1
Adidas,Sweater,Black,L,Wool,34,2021-06-13 06:24:21.031382,49.28,4
Reebok,Dress,Green,S,Denim,135,2022-08-17 06:24:21.031382,176.02,2
Under Armour,Jacket,Black,L,Nylon,12,2021-02-05 06:24:21.031382,17.86,2
Nike,T-shirt,Yellow,S,Polyester,13,2024-10-23 06:24:21.031382,17.12,1
Adidas,Shoes,White,S,Polyester,104,2024-06-08 06:24:21.031382,126.67,3
Puma,Sweater,Green,M,Cotton,117,2020-12-27 06:24:21.031382,130.15,5
Nike,Sweater,Yellow,XS,Silk,23,2024-08-25 06:24:21.031382,31.49,4
Reebok,Sweater,Yellow,S,Polyester,122,2022-12-28 06:24:21.031382,157.81,1
New Balance,Jacket,Red,XS,Denim,50,2024-09-06 06:24:21.031382,58.0,1
Puma,Shoes,Yellow,M,Wool,82,2020-10-14 06:24:21.031382,104.69,2
Reebok,T-shirt,Green,S,Nylon,29,2022-06-16 06:24:21.031382,36.98,5
Reebok,Jeans,Red,XXL,Silk,105,2022-03-16 06:24:21.031382,119.46,3
Under Armour,Shoes,Red,XL,Denim,82,2024-03-17 06:24:21.031382,110.57,4
New Balance,Jacket,Green,S,Wool,164,2023-10-23 06:24:21.031382,222.44,2
Under Armour,Dress,Red,S,Nylon,190,2025-02-28 06:24:21.031382,224.59,4
Reebok,Dress,Green,XL,Wool,77,2025-05-17 06:24:21.031382,88.27,3
New Balance,Jacket,Black,XL,Wool,71,2020-09-13 06:24:21.031382,83.45,1
Under Armour,Sweater,Red,S,Silk,24,2021-05-03 06:24:21.031382,36.0,0
New Balance,Jacket,Black,L,Nylon,106,2022-07-09 06:24:21.031382,153.86,0
New Balance,Shoes,Red,M,Wool,14,2023-12-26 06:24:21.031382,20.5,5
Puma,T-shirt,Yellow,XXL,Polyester,149,2020-09-05 06:24:21.031382,183.38,4
Reebok,Shoes,White,L,Denim,96,2022-01-04 06:24:21.031382,122.02,0
Reebok,Jeans,Green,XXL,Denim,131,2023-09-18 06:24:21.031382,185.96,1
Adidas,Jeans,Yellow,S,Silk,119,2020-09-28 06:24:21.031382,139.67,2
Adidas,Jeans,Black,XXL,Cotton,85,2021-11-17 06:24:21.031382,98.33,5
Adidas,Shoes,Green,XS,Polyester,194,2021-07-09 06:24:21.031382,239.24,4
Adidas,Jeans,Green,XL,Nylon,26,2020-08-12 06:24:21.031382,38.82,5
Nike,Sweater,White,XXL,Denim,162,2022-11-03 06:24:21.031382,232.45,2
Adidas,Shoes,Black,XXL,Polyester,167,2022-06-11 06:24:21.031382,191.98,3
Puma,Shoes,Green,XL,Wool,159,2022-05-14 06:24:21.031382,216.41,2
Nike,Dress,Green,XS,Cotton,120,2021-07-15 06:24:21.031382,143.76,2
Puma,Dress,Red,M,Silk,35,2020-08-25 06:24:21.031382,52.16,3
Adidas,Jacket,Blue,XXL,Denim,198,2024-04-22 06:24:21.031382,247.56,3
Reebok,Jeans,Yellow,M,Cotton,131,2024-05-29 06:24:21.031382,184.47,2
Nike,Dress,Blue,S,Denim,128,2022-10-26 06:24:21.031382,176.25,4
Reebok,T-shirt,Green,S,Polyester,127,2025-01-29 06:24:21.031382,187.04,2
Puma,Jacket,White,XL,Cotton,199,2023-09-28 06:24:21.031382,227.58,5
Puma,Sweater,White,XS,Nylon,93,2021-02-19 06:24:21.031382,116.02,1
Nike,Dress,Blue,XS,Denim,171,2020-12-10 06:24:21.031382,234.92,3
New Balance,Jeans,White,L,Wool,114,2024-01-07 06:24:21.031382,165.71,5
Puma,Sweater,White,M,Wool,170,2021-02-08 06:24:21.031382,199.43,3
New Balance,T-shirt,Red,XXL,Nylon,131,2024-10-15 06:24:21.031382,195.33,0
Nike,T-shirt,Black,M,Wool,80,2023-04-16 06:24:21.031382,103.72,5
Puma,T-shirt,Black,S,Silk,41,2021-01-31 06:24:21.031382,47.88,3
Reebok,Sweater,Blue,S,Wool,23,2024-04-05 06:24:21.031382,33.98,0
Under Armour,Shoes,Red,M,Wool,81,2024-11-18 06:24:21.031382,89.66,3
Adidas,Dress,White,L,Denim,194,2023-03-11 06:24:21.031382,215.78,5
Adidas,Dress,White,S,Polyester,162,2021-05-31 06:24:21.031382,199.26,3
Under Armour,Shoes,Black,S,Cotton,89,2024-10-08 06:24:21.031382,107.78,5
Under Armour,Shoes,Blue,XXL,Wool,51,2021-01-25 06:24:21.031382,59.5,2
Nike,Jeans,Blue,L,Polyester,28,2024-11-14 06:24:21.031382,32.36,0
Puma,Shoes,Yellow,XXL,Nylon,50,2022-12-17 06:24:21.031382,64.71,0
Reebok,Sweater,Red,XXL,Denim,192,2024-01-03 06:24:21.031382,236.03,0
Adidas,Dress,Yellow,XL,Silk,21,2025-03-29 06:24:21.031382,25.91,3
Under Armour,Shoes,Blue,M,Nylon,176,2020-12-17 06:24:21.031382,231.15,2
New Balance,Jacket,Yellow,XS,Silk,121,2025-06-22 06:24:21.031382,133.74,1
New Balance,Jeans,White,XS,Polyester,103,2022-03-04 06:24:21.031382,131.32,1
Under Armour,Dress,Yellow,XS,Nylon,139,2021-11-24 06:24:21.031382,198.49,1
Under Armour,Jacket,Blue,XS,Polyester,128,2025-05-24 06:24:21.031382,167.23,0
Puma,Jeans,Black,XS,Silk,54,2023-07-23 06:24:21.031382,67.47,5
New Balance,T-shirt,Green,XL,Wool,135,2021-01-23 06:24:21.031382,187.43,2
Reebok,T-shirt,Black,M,Polyester,34,2021-03-16 06:24:21.031382,43.42,4
Under Armour,Jacket,White,S,Cotton,77,2024-04-10 06:24:21.031382,107.34,2
Reebok,T-shirt,Red,XS,Wool,13,2021-11-16 06:24:21.031382,14.76,0
Adidas,Jacket,Black,L,Wool,45,2020-10-31 06:24:21.031382,63.25,2
Nike,Jeans,White,XS,Cotton,199,2022-12-28 06:24:21.031382,236.05,5
Nike,Dress,Blue,XL,Nylon,53,2022-02-27 06:24:21.031382,66.73,2
Adidas,Jeans,Yellow,M,Cotton,42,2020-12-21 06:24:21.031382,54.83,4
Nike,Jacket,Red,L,Denim,21,2021-03-27 06:24:21.031382,23.35,4
Under Armour,Sweater,Red,XS,Wool,114,2022-12-26 06:24:21.031382,158.45,2
New Balance,Sweater,Red,XL,Nylon,148,2021-06-08 06:24:21.031382,199.16,3
Puma,Shoes,Yellow,XS,Nylon,192,2023-01-14 06:24:21.031382,265.59,1
Nike,Shoes,White,XS,Silk,175,2020-10-27 06:24:21.031382,236.57,0
Adidas,Shoes,Black,L,Cotton,135,2021-10-20 06:24:21.031382,183.74,0
Puma,Jacket,Yellow,XL,Wool,166,2021-01-11 06:24:21.031382,190.63,5
Adidas,T-shirt,White,M,Polyester,121,2021-03-30 06:24:21.031382,142.58,0
Under Armour,Jacket,Green,XL,Silk,12,2024-07-03 06:24:21.031382,17.55,3
Adidas,Shoes,Red,M,Denim,37,2020-08-10 06:24:21.031382,51.82,2
New Balance,Dress,Blue,M,Denim,161,2023-09-08 06:24:21.031382,181.47,4
Under Armour,Jeans,Yellow,M,Polyester,63,2024-03-31 06:24:21.031382,69.91,5
Nike,Jacket,Red,M,Nylon,61,2023-06-27 06:24:21.031382,85.37,5
Puma,Shoes,Yellow,XL,Wool,184,2025-03-24 06:24:21.031382,228.1,4
Reebok,Dress,White,L,Denim,158,2025-01-16 06:24:21.031382,202.36,1
New Balance,Sweater,Yellow,M,Denim,191,2022-05-31 06:24:21.031382,221.88,5
Puma,Jacket,Black,S,Wool,39,2025-06-27 06:24:21.031382,56.31,1
Reebok,T-shirt,Yellow,M,Cotton,77,2022-08-03 06:24:21.031382,101.77,2
Nike,Shoes,White,S,Wool,45,2023-05-31 06:24:21.031382,54.15,3
Adidas,Jacket,Blue,XS,Wool,49,2020-10-20 06:24:21.031382,67.59,3
New Balance,Shoes,Green,M,Cotton,147,2021-03-28 06:24:21.031382,163.51,3
New Balance,Sweater,Green,S,Cotton,83,2024-10-09 06:24:21.031382,111.23,2
Under Armour,Shoes,Yellow,M,Wool,51,2020-12-05 06:24:21.031382,64.25,0
